365_vi_2_D,,,,,80,1.301819703
99_i_5_A,99_i,5,A,5_A,80,1.30095333
73_i_5_A,73_i,5,A,5_A,80,1.30095333
73_i_2_E,73_i,2,E,2_E,80,1.30095333
73_i_2_D,73_i,2,D,2_D,80,1.30095333
73_i_2_A,73_i,2,A,2_A,80,1.30095333
73_i_1_E,73_i,1,E,1_E,80,1.30095333
61_i_5_E,61_i,5,E,5_E,80,1.30095333
61_i_3_E,61_i,3,E,3_E,80,1.30095333
61_i_2_A,61_i,2,A,2_A,80,1.30095333
5_i_5_A,5_i,5,A,5_A,80,1.30095333
5_i_4_B,5_i,4,B,4_B,80,1.30095333
5_i_1_C,5_i,1,C,1_C,80,1.30095333
371_i_5_D,371_i,5,D,5_D,80,1.30095333
371_i_2_E,371_i,2,E,2_E,80,1.30095333
371_i_1_D,371_i,1,D,1_D,80,1.30095333
328_i_5_E,328_i,5,E,5_E,80,1.30095333
328_i_4_D,328_i,4,D,4_D,80,1.30095333
328_i_2_D,328_i,2,D,2_D,80,1.30095333
166_i_4_B,166_i,4,B,4_B,80,1.30095333
145_i_3_E,145_i,3,E,3_E,80,1.30095333
99_i_2_E,99_i,2,E,2_E,79,1.268766636
365_vi_5_D,,,,,78,1.238729979
365_vi_4_A,,,,,78,1.238729979
73_i_5_D,73_i,5,D,5_D,78,1.237905593
73_i_4_E,73_i,4,E,4_E,78,1.237905593
73_i_3_E,73_i,3,E,3_E,78,1.237905593
7_i_3_D,7_i,3,D,3_D,78,1.237905593
61_i_5_D,61_i,5,D,5_D,78,1.237905593
61_i_4_E,61_i,4,E,4_E,78,1.237905593
5_i_2_C,5_i,2,C,2_C,78,1.237905593
371_i_1_A,371_i,1,A,1_A,78,1.237905593
328_i_2_E,328_i,2,E,2_E,78,1.237905593
145_i_1_B,145_i,1,B,1_B,78,1.237905593
365_vi_1_A,,,,,77,1.20905509
365_vi_5_A,,,,,76,1.180482356
365_vi_2_A,,,,,76,1.180482356
73_i_5_E,73_i,5,E,5_E,76,1.179696734
73_i_1_D,73_i,1,D,1_D,76,1.179696734
61_i_4_D,61_i,4,D,4_D,76,1.179696734
61_i_4_D,61_i,4,D,4_D,76,1.179696734
5_i_1_B,5_i,1,B,1_B,76,1.179696734
371_i_5_A,371_i,5,A,5_A,76,1.179696734
328_i_5_C,328_i,5,C,5_C,76,1.179696734
328_i_5_B,328_i,5,B,5_B,76,1.179696734
166_i_5_B,166_i,5,B,5_B,76,1.179696734
145_i_2_B,145_i,2,B,2_B,76,1.179696734
99_i_3_A,99_i,3,A,3_A,75,1.152152727
99_i_1_A,99_i,1,A,1_A,75,1.152152727
73_i_4_D,73_i,4,D,4_D,74,1.125537488
73_i_4_A,73_i,4,A,4_A,74,1.125537488
73_i_3_D,73_i,3,D,3_D,74,1.125537488
7_i_3_A,7_i,3,A,3_A,74,1.125537488
7_i_2_C,7_i,2,C,2_C,74,1.125537488
7_i_1_A,7_i,1,A,1_A,74,1.125537488
5_i_2_B,5_i,2,B,2_B,74,1.125537488
371_i_4_E,371_i,4,E,4_E,74,1.125537488
371_i_3_E,371_i,3,E,3_E,74,1.125537488
